Code,Title,Price,Stock Quantity,semester_available,date_added,date_updated,Program Related
6631,"Introduction to Applications Development and Emerging Technologies",375,232,1,2026-05-08,2026-05-08,ICS
1111,"ELECTRICAL CIRCUITS 1 LABORATORY MANUAL",308,56,1,2026-05-08,2026-05-08,COE
6531,"GE09: The Life and Works of Jose Rizal",400,21,1,2026-04-09,2026-05-01,All
6660,"PATHFIT 2 EXERCISE-BASED FITNESS ACTIVITIES: Building Strength, Endurance",420,0,2,2026-05-05,2026-05-07,All
6661,"PATHFIT 4 THE POWER OF PLAY: Building Fitness Through Sports",420,21,2,2026-01-02,2026-01-02,All
6522,"GE-ELEC7: Entrepreneurial Mindset",525,175,2,2026-01-08,2026-01-02,CBEA
6530,"GEO8: Introduction to Ethics",375,21,2,2026-01-02,2026-01-03,CAS
6607,"GE-ELEC6: Environmental Science (A Simplified Approach for College Students)",610,54,2,2026-01-02,2026-01-03,CAS
